,btc_row_id,btc_id,btc_dt,btc_low,btc_high,btc_open,btc_close,btc_volume,btc_macd,btc_macd_single,btc_rsi,btc_bollinger_bands_sma,btc_bollinger_bands_lower_band,btc_bollinger_bands_upper_band,btc_obv,btc_ichimoku_chikou_span,btc_ichimoku_kijun_sen,btc_ichimoku_tenkan_sen,btc_ichimoku_senkou_span_a,btc_ichimoku_senkou_span_b,btc_stoch_oscillator,btc_stoch_signal,btc_stoch_percent_j,btc_aroon_up,btc_aroon_down,btc_aroon_oscillator,btc_sma5,btc_sma10,btc_sma30,btc_ema5,btc_ema10,btc_ema30,target
1,1,BTC_USDT,2020-11-01,13620.57,13888.45,13790.61,13747.25,9018406.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,-19482722.0,17135.64,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,14208.216,14752.828,16656.65,14208.216,14752.828,16656.65,13558.84
2,2,BTC_USDT,2020-11-02,13207.51,13825.0,13749.99,13558.84,19482722.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,-19482722.0,17727.52,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,14208.216,14752.828,16656.65,14208.216,14752.828,16656.65,14014.59
3,3,BTC_USDT,2020-11-03,13287.61,14046.57,13556.05,14014.59,17432730.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,-2049992.0,18174.53,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,14208.216,14752.828,16656.65,14208.216,14752.828,16656.65,14133.45
4,4,BTC_USDT,2020-11-04,13532.19,14240.0,14014.59,14133.45,19503998.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,17454006.0,19687.74,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,14208.216,14752.828,16656.65,14208.216,14752.828,16656.65,15586.95
5,5,BTC_USDT,2020-11-05,14092.32,15740.0,14143.7,15586.95,38253920.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,55707928.0,18763.44,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,14208.216,14752.828,16656.65,14208.216,14752.828,16656.65,15579.32
6,6,BTC_USDT,2020-11-06,15178.74,15947.42,15586.62,15579.32,29066916.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,26641010.0,19225.36,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,14574.63,14752.828,16656.65,14665.251,14752.828,16656.65,14817.41
7,7,BTC_USDT,2020-11-07,14357.0,15743.08,15579.32,14817.41,29940210.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,-3299200.0,19428.82,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,14826.344,14752.828,16656.65,14715.971,14752.828,16656.65,15470.96
8,8,BTC_USDT,2020-11-08,14704.46,15644.82,14814.01,15470.96,18590770.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,15291570.0,18661.57,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,15117.618,14752.828,16656.65,14967.634,14752.828,16656.65,15316.51
9,9,BTC_USDT,2020-11-09,14821.57,15830.0,15471.25,15316.51,31110592.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,-15819022.0,19153.89,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,15354.23,14752.828,16656.65,15083.926,14752.828,16656.65,15303.0
10,10,BTC_USDT,2020-11-10,15080.7,15464.16,15332.94,15303.0,15419673.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,-31238696.0,19365.67,16342.77,14577.465,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,15297.44,14752.828,16656.65,15156.95,14752.828,16656.65,15686.8
11,11,BTC_USDT,2020-11-11,15277.06,15971.8,15297.12,15686.8,18940548.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,-12298147.0,19179.75,16342.77,14629.705,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,15318.936,14946.783,16656.65,15333.567,14922.641,16656.65,16292.95
12,12,BTC_USDT,2020-11-12,15459.65,16332.1,15694.13,16292.95,30938796.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,18640648.0,18330.0,16342.77,14932.145,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,15614.044,15220.194,16656.65,15653.361,15171.788,16656.65,16319.49
13,13,BTC_USDT,2020-11-13,15962.19,16463.0,16286.69,16319.49,18924386.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,37565036.0,18554.97,16342.77,15277.66,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,15783.75,15450.684,16656.65,15875.404,15380.461,16656.65,16060.8
14,14,BTC_USDT,2020-11-14,15700.0,16326.04,16321.08,16060.8,17572642.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,19992392.0,18241.22,16342.77,15410.0,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,15932.608,15643.419,16656.65,15937.203,15504.159,16656.65,15947.27
15,15,BTC_USDT,2020-11-15,15785.74,16158.03,16067.98,15947.27,8532305.0,1341.0406,1139.0571,71.169174,15821.848,13072.249,18571.447,11460088.0,18020.4,16342.77,15410.0,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,16061.462,15679.451,16656.65,15940.559,15584.725,16656.65,16711.46
16,16,BTC_USDT,2020-11-16,15868.2,16872.41,15946.98,16711.46,23417972.0,1341.0406,1139.0571,75.11103,15821.848,13072.249,18571.447,34878060.0,18806.43,16342.77,15788.436,17095.803,18746.48,90.87516,89.104614,93.6675,96.0,4.0,92.0,16266.395,15792.665,16656.65,16197.526,15789.586,16656.65,17652.77
17,17,BTC_USDT,2020-11-17,16558.97,17848.0,16709.71,17652.77,30009394.0,1341.0406,1139.0571,78.93206,15821.848,13072.249,18571.447,64887456.0,19173.09,16342.77,16334.785,17095.803,18746.48,90.87516,91.71492,93.6675,96.0,4.0,92.0,16538.357,16076.201,16656.65,16682.607,16128.347,16656.65,17778.24
18,18,BTC_USDT,2020-11-18,17250.69,18457.91,17648.88,17778.24,55666376.0,1341.0406,1139.0571,79.386345,15821.848,13072.249,18571.447,120553832.0,19278.77,16342.77,16769.305,17095.803,18746.48,90.87516,91.80594,93.6675,96.0,4.0,92.0,16830.107,16306.929,16656.65,17047.818,16428.328,16656.65,17802.86
19,19,BTC_USDT,2020-11-19,17368.98,18164.23,17785.28,17802.86,32525410.0,1341.0406,1139.0571,79.47984,15821.848,13072.249,18571.447,153079232.0,19426.77,16342.77,16867.484,17095.803,18746.48,90.49965,87.978096,82.93498,96.0,4.0,92.0,17178.52,16555.564,16656.65,17299.498,16678.242,16656.65,18656.04
20,20,BTC_USDT,2020-11-20,17750.0,18792.91,17797.07,18656.04,36869016.0,1341.0406,1139.0571,82.45054,15821.848,13072.249,18571.447,189948256.0,21329.05,16342.77,17126.281,17095.803,18746.48,89.41383,88.45746,86.54471,96.0,4.0,92.0,17720.273,16890.867,16656.65,17751.68,17037.842,16656.65,18705.13
21,21,BTC_USDT,2020-11-21,18345.28,18949.68,18668.63,18705.13,30726866.0,1341.0406,1139.0571,82.606575,16069.742,13220.819,18918.664,220675120.0,22800.28,16342.77,17324.84,17095.803,18746.48,89.387474,91.72687,96.405655,96.0,4.0,92.0,18119.008,17192.701,16656.65,18069.496,17340.984,16656.65,18418.9
22,22,BTC_USDT,2020-11-22,17623.71,18746.55,18704.99,18418.9,33566208.0,1341.0406,1139.0571,78.23874,16312.745,13533.727,19091.764,187108912.0,23102.46,16342.77,17324.84,17095.803,18746.48,90.983246,92.7654,96.329735,96.0,4.0,92.0,18272.234,17405.297,16656.65,18185.965,17536.969,16656.65,18372.64
23,23,BTC_USDT,2020-11-23,18006.24,18758.31,18412.01,18372.64,31197574.0,1341.0406,1139.0571,77.52528,16530.648,13824.109,19237.186,155911344.0,23821.7,16342.77,17367.71,17095.803,18746.48,91.1049,88.82241,84.25745,96.0,4.0,92.0,18391.113,17610.611,16656.65,18248.19,17688.91,16656.65,19157.86
24,24,BTC_USDT,2020-11-24,18042.0,19414.0,18367.95,19157.86,42584300.0,1341.0406,1139.0571,80.73639,16781.867,14079.27,19484.467,198495648.0,23488.58,16342.77,17641.1,17095.803,18746.48,90.08886,88.67876,85.85855,96.0,4.0,92.0,18662.113,17920.316,16656.65,18551.412,17955.992,16656.65,18736.61
25,25,BTC_USDT,2020-11-25,18600.0,19478.03,19151.63,18736.61,36613972.0,1341.0406,1139.0571,74.580124,16939.352,14167.443,19711.258,161881664.0,22713.86,16342.77,18018.5,17095.803,18746.48,88.105194,86.81441,84.23284,96.0,4.0,92.0,18678.229,18199.25,16656.65,18613.145,18097.922,16656.65,17146.01
26,26,BTC_USDT,2020-11-26,16219.64,18909.25,18725.38,17146.01,85893384.0,1341.0406,1139.0571,56.928535,17017.686,14316.291,19719.08,75988288.0,23808.33,16342.77,17848.834,17095.803,18746.48,82.234604,71.21064,49.162712,96.0,4.0,92.0,18366.404,18242.705,16656.65,18124.1,17924.848,16656.65,17135.64
27,27,BTC_USDT,2020-11-27,16478.0,17453.7,17146.01,17135.64,41028052.0,1191.6488,1139.0571,56.8341,17133.598,14627.9375,19639.256,34960232.0,23235.17,16342.77,17848.834,17095.803,18746.48,70.21092,52.607727,17.40133,92.0,4.0,92.0,18109.752,18190.992,16656.65,17794.613,17781.355,16656.65,17727.52
28,28,BTC_USDT,2020-11-28,16884.03,17872.26,17139.81,17727.52,24202674.0,1108.2393,1139.0571,60.828495,17246.426,14849.534,19643.316,59162904.0,23738.86,16382.82,17848.834,17095.803,18746.48,55.59101,42.954674,17.681997,88.0,4.0,88.0,17980.729,18185.922,16656.65,17772.248,17771.566,16656.65,18174.53
29,29,BTC_USDT,2020-11-29,17524.73,18328.0,17712.89,18174.53,23680722.0,1065.9193,1139.0571,63.57029,17389.326,15133.054,19645.598,82843632.0,24690.6,16505.11,17848.834,17095.803,18746.48,49.01859,51.493366,56.44292,84.0,4.0,84.0,17784.062,18223.088,16656.65,17906.342,17844.832,16656.65,19687.74
30,30,BTC_USDT,2020-11-30,18175.43,19849.0,18175.43,19687.74,47092164.0,1141.3275,1139.0571,70.9763,17608.562,15353.681,19863.445,129935792.0,26449.61,16970.66,18034.32,17095.803,18746.48,55.042366,70.67906,101.952446,100.0,4.0,100.0,17974.287,18326.258,16656.65,18500.143,18179.906,16656.65,18763.44
31,31,BTC_USDT,2020-12-01,18097.35,19885.58,19695.5,18763.44,45589116.0,1113.668,1139.0571,62.604263,17762.395,15636.848,19887.941,84346672.0,26289.03,17121.29,18052.61,17095.803,18746.48,66.15049,76.27905,96.53617,100.0,4.0,96.0,18297.773,18332.09,16823.857,18587.908,18286.004,16792.572,19225.36
32,32,BTC_USDT,2020-12-02,18347.0,19333.0,18762.93,19225.36,25745038.0,1116.1543,1139.0571,64.83654,17909.016,15804.696,20013.334,110091712.0,27076.17,17121.29,18052.61,17095.803,18746.48,76.423515,82.31244,94.09028,96.0,4.0,96.0,18715.717,18412.734,17012.742,18800.39,18456.795,16949.527,19428.82
33,33,BTC_USDT,2020-12-03,18881.84,19592.61,19203.86,19428.82,20710552.0,1121.613,1139.0571,65.804794,18064.482,15993.703,20135.26,130802264.0,27370.0,17295.02,18052.61,17095.803,18746.48,79.41061,79.64032,80.099754,92.0,4.0,92.0,19055.979,18518.354,17193.217,19009.867,18633.527,17109.482,18661.57
34,34,BTC_USDT,2020-12-04,18533.08,19516.03,19418.11,18661.57,22363326.0,1051.9028,1139.0571,59.18629,18194.52,16326.678,20062.363,108438944.0,28884.25,17353.574,18052.61,17095.803,18746.48,80.222275,78.71406,75.697624,88.0,4.0,88.0,19153.387,18468.725,17344.152,18893.77,18638.627,17209.617,19153.89
35,35,BTC_USDT,2020-12-05,18522.87,19160.0,18650.0,19153.89,7741589.5,1024.5725,1116.1602,61.83859,18354.852,16754.832,19954.871,116180528.0,28920.32,17483.14,18181.79,17095.803,18746.48,78.8062,78.06421,76.58024,84.0,4.0,84.0,19046.615,18510.451,17463.05,18980.477,18732.31,17335.053,19365.67
36,36,BTC_USDT,2020-12-06,18880.79,19407.99,19149.13,19365.67,16194252.0,1008.37787,1094.6038,62.953857,18487.562,17019.973,19955.152,132374784.0,29330.13,17581.32,18384.805,17095.803,18746.48,78.089424,77.490005,76.29116,80.0,4.0,80.0,19167.062,18732.418,17589.264,19108.873,18847.467,17466.06,19179.75
37,37,BTC_USDT,2020-12-07,18910.0,19420.91,19365.75,19179.75,23565918.0,969.36707,1069.5564,61.261204,18563.91,17119.281,20008.54,108808864.0,32184.51,17672.615,18705.156,17095.803,18746.48,79.25196,82.20166,88.10107,76.0,4.0,76.0,19157.94,18936.828,17734.674,19132.5,18907.883,17576.621,18330.0
38,38,BTC_USDT,2020-12-08,18210.0,19291.94,19176.93,18330.0,32168834.0,859.96985,1027.639,54.10136,18591.498,17187.436,19995.562,76640032.0,33012.98,17792.79,18991.465,17095.803,18746.48,78.13397,74.71026,67.86283,72.0,4.0,68.0,18938.176,18997.076,17829.977,18865.0,18802.812,17625.227,18554.97
39,39,BTC_USDT,2020-12-09,17661.53,18625.25,18319.96,18554.97,28496766.0,782.4059,978.5924,55.581497,18629.105,17272.043,19986.166,105136792.0,31996.26,17792.79,18773.555,17095.803,18746.48,74.750244,67.338806,52.515938,68.0,4.0,68.0,18916.855,19035.121,17937.924,18761.656,18757.75,17685.21,18241.22
40,40,BTC_USDT,2020-12-10,17919.52,18548.3,18539.38,18241.22,22348544.0,687.6916,920.4123,53.01386,18608.363,17240.943,19975.785,82788248.0,33945.29,17835.66,18627.07,17095.803,18746.48,66.573494,57.671406,39.867237,64.0,4.0,64.0,18734.322,18890.469,18035.865,18588.178,18663.836,17721.082,18020.4
41,41,BTC_USDT,2020-12-11,17600.0,18285.39,18240.71,18020.4,21134858.0,588.033,853.9364,51.22042,18574.127,17184.012,19964.242,61653392.0,36755.11,17876.89,18596.305,17095.803,18746.48,58.70418,51.102333,35.898636,60.0,4.0,60.0,18465.268,18816.166,18113.652,18398.918,18546.848,17740.393,18806.43
42,42,BTC_USDT,2020-12-12,18018.84,18939.12,18025.81,18806.43,19450388.0,565.9549,796.3401,56.8201,18593.504,17201.781,19985.227,81103784.0,39430.38,18052.61,18558.016,17095.803,18746.48,52.246056,47.964428,39.40117,56.0,36.0,20.0,18390.604,18774.271,18197.434,18534.756,18594.045,17809.17,19173.09
43,43,BTC_USDT,2020-12-13,18720.59,19405.0,18802.55,19173.09,17516282.0,571.45685,751.36346,59.174427,18633.525,17223.592,20043.459,98620064.0,40600.0,18052.61,18510.455,17095.803,18746.48,50.90847,53.658646,59.158997,52.0,32.0,20.0,18559.223,18748.7,18292.555,18747.533,18699.326,17897.164,19278.77
44,44,BTC_USDT,2020-12-14,19002.48,19345.0,19159.5,19278.77,19096420.0,577.6854,716.62787,59.85385,18639.572,17219.695,20059.447,117716480.0,40091.1,18052.61,18510.455,17095.803,18746.48,55.71513,65.522316,85.13669,48.0,28.0,20.0,18703.982,18810.42,18399.82,18924.613,18804.68,17986.3,19426.77
